ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,50,67364,653,Unemployed,Bachelor,24,14352,24,Married,1,Mortgage,345,0.4751542944539234,4,1,0.3123069338386443,0,Other,0,24,25,18451,1010,31249,39010,5613.666666666667,0.666898904106185,5,6433,0.162852,0.16712971921191572,707.6175897282278,0.18750981350185164,1,41.6
2018-01-02,32,38120,614,Employed,Bachelor,8,19379,48,Divorced,0,Mortgage,511,0.42167413910806156,1,0,0.05056274298482008,0,Home,0,22,18,6253,1944,8710,29440,3176.6666666666665,0.7310456705723939,3,10265,0.207379,0.1855842037259411,574.9284677371575,0.34184526791306113,0,49.0
2018-01-03,53,34208,638,Employed,Doctorate,31,18995,36,Married,2,Own,360,0.1339508825214187,2,0,0.38012256238375414,0,Debt Consolidation,0,19,17,2573,5952,90344,11118,2850.6666666666665,0.9606919529293863,12,79226,0.18499500000000002,0.1651113542789011,672.61109940779,0.3622349506809366,1,39.2
2018-01-04,32,23754,571,Employed,High School,11,10387,36,Married,0,Mortgage,427,0.18553392199224394,4,2,0.2479421084999281,0,Other,0,25,28,7380,7683,15063,30456,1979.5,0.8761565584373445,5,7237,0.20988700000000002,0.24313575414205232,409.2237637536197,0.42244191146937093,0,53.0
2018-01-05,20,65127,552,Employed,Master,0,7828,24,Single,2,Rent,563,0.4910761558485395,6,2,0.5294791463940016,0,Debt Consolidation,0,25,18,7526,3062,385551,10481,5427.25,0.8337039822400141,10,375070,0.20682799999999998,0.2046195184862102,400.18112551050547,0.17747130231894706,1,42.400000000000006
2018-01-06,44,25443,607,Employed,Bachelor,21,7672,48,Single,2,Other,508,0.3453836061537135,3,0,0.29436223448527005,0,Home,0,23,12,1761,643,4637,20652,2120.25,0.7290798752124976,8,9226,0.19917200000000002,0.18164652274842644,226.0256173004614,0.34619767352928255,0,51.0
2018-01-07,54,45472,604,Employed,Associate,32,40821,48,Single,0,Other,226,0.1566459575253123,3,1,0.33347062533812427,0,Debt Consolidation,0,28,22,1040,212,91526,7968,3789.3333333333335,0.9704373534704084,4,83558,0.233821,0.24228809216033084,1336.008396598175,0.4122119273218266,0,49.0
2018-01-08,52,166531,610,Employed,Bachelor,28,30530,48,Single,0,Rent,349,0.2568783766418881,2,1,0.18276539998397573,0,Auto,0,33,16,4174,442,38686,24530,13877.583333333334,0.7191722793401605,4,14156,0.22053,0.22630120109425222,972.3548544132665,0.09521505457217692,1,36.0
2018-01-09,50,74967,552,Employed,High School,27,14246,36,Divorced,0,Mortgage,1073,0.22527950858250037,1,1,0.5750139437469663,0,Auto,0,24,4,2666,1065,15534,28544,6247.25,0.6897185406770395,4,1070,0.223246,0.1950513838986269,525.8471920090353,0.25592815911145467,1,48.800000000000004
2018-01-10,48,56123,515,Employed,High School,27,17823,120,Married,4,Rent,354,0.5552962116343282,1,1,0.35252438783098955,0,Education,0,14,26,2510,1857,22697,27610,4676.916666666667,0.7352554768752616,8,6654,0.315323,0.2624280774166784,421.17926193986835,0.165745793048811,0,55.0
2018-01-11,37,39473,552,Employed,High School,17,13669,48,Married,0,Rent,238,0.16531703624861582,4,0,0.2718642979891202,0,Education,0,36,12,7188,490,25144,24508,3289.4166666666665,0.8776035102231968,3,9499,0.232669,0.19794099889804403,414.4545748740581,0.1983496288219466,0,52.0
2018-01-12,33,53135,559,Employed,High School,11,15722,84,Married,3,Rent,458,0.22871654850221645,1,0,0.3096432702020203,0,Home,0,19,16,5392,241,98918,7152,4427.916666666667,0.6633321327536927,2,91766,0.261222,0.3134664,463.86326475546207,0.20819345397695577,0,52.0
2018-01-13,29,73055,482,Employed,Bachelor,9,25210,36,Married,0,Rent,353,0.22017322023711894,2,1,0.5230429319557118,0,Home,0,27,7,1671,1803,150907,56723,6087.916666666667,0.6268547343660026,6,94184,0.26921,0.2817843405261401,1045.207789182413,0.229669337761809,0,57.0
2018-01-14,54,35141,616,Employed,Bachelor,29,9097,72,Married,1,Rent,1172,0.30310414187563434,5,2,0.13269481426007773,0,Home,0,13,27,16958,923,44307,10348,2928.4166666666665,0.9685061905254115,9,33959,0.216097,0.2150357739080114,225.89952238995056,0.4773567704015084,0,48.0
2018-01-15,24,28868,534,Employed,High School,0,37396,60,Single,1,Own,439,0.42647488139663686,4,1,0.32628430015742094,0,Home,0,22,16,6486,2149,64842,7154,2405.6666666666665,0.7013012640812426,4,57688,0.275396,0.2552770941802065,1109.2216288799125,0.6435727984813271,0,55.0
2018-01-16,38,73056,610,Employed,Bachelor,17,30868,84,Single,1,Own,420,0.2661523585448808,5,3,0.06880399467081232,0,Education,1,27,9,2747,4201,11972,21791,6088.0,0.40852449189059686,4,3622,0.250868,0.25828382329682564,797.7426980686818,0.20002343923598587,0,54.0
2018-01-17,34,91441,558,Employed,Associate,11,9718,72,Divorced,0,Other,365,0.32139326243947464,2,1,0.023984753009958212,0,Home,0,24,17,3337,19303,115514,61436,7620.083333333333,0.567258667712855,6,54078,0.245718,0.231701248707085,250.97070092381827,0.08083516596587767,1,37.6
2018-01-18,18,50750,616,Employed,Doctorate,0,19969,36,Married,2,Rent,412,0.5243316454984165,4,2,0.28165401414918356,0,Home,0,27,29,2697,1687,73963,3750,4229.166666666667,0.8531358095544765,6,70213,0.19696900000000003,0.19343759196721727,735.459392580695,0.27132044750676526,0,48.0
2018-01-19,18,37803,539,Employed,Bachelor,0,47242,48,Married,1,Other,634,0.2542118485885109,4,2,0.38637347520465976,0,Education,0,23,7,4494,4450,164017,88050,3150.25,0.6271797003066044,4,75967,0.272742,0.29827271170306624,1696.2524439762199,0.7397039739627712,0,54.0
2018-01-20,43,52634,524,Employed,High School,21,13294,36,Married,3,Rent,326,0.39792284975783443,5,3,0.12403978243743523,1,Education,0,25,6,3203,1250,46323,26298,4386.166666666667,0.9713448363483245,7,20025,0.236294,0.2424566190423921,523.2778251219484,0.19362643731168788,0,64.0
2018-01-21,51,77588,568,Employed,Associate,30,14000,48,Single,4,Other,252,0.07594413793766401,0,0,0.4803418406656138,0,Education,1,22,20,6448,301,36004,15778,6465.666666666667,0.7783427096645409,2,20226,0.225,0.18194006225076004,412.67062831679027,0.10280001469043516,1,48.800000000000004
2018-01-22,25,45674,606,Unemployed,Bachelor,3,31993,96,Married,2,Mortgage,305,0.09153669849052166,3,0,0.3880708963858068,0,Home,0,24,20,2037,894,127171,41885,3806.1666666666665,0.8168874836529991,6,85286,0.263993,0.2729338193784731,822.6279625831593,0.296263422318998,0,52.0
2018-01-23,48,32320,571,Employed,Bachelor,27,35713,48,Single,2,Other,291,0.33250729258683914,0,1,0.043739599913155285,0,Home,0,20,27,7838,650,64510,70430,2693.3333333333335,0.9093175590914349,4,1902,0.24521300000000001,0.254407444063943,1192.9364891880052,0.5509665182628732,0,51.0
2018-01-24,26,52099,616,Unemployed,Doctorate,3,11558,60,Married,0,Mortgage,369,0.2692320022402723,2,1,0.48939115514940773,0,Education,1,22,27,987,1109,26837,34311,4341.583333333333,0.9098155968621651,1,8243,0.20855800000000002,0.24972247365649244,339.0545683284537,0.1630867160586853,0,62.0
2018-01-25,18,32597,604,Employed,Bachelor,0,17525,36,Married,0,Mortgage,200,0.10635621636552385,2,0,0.2674089819382374,0,Education,0,19,20,27226,487,27713,32798,2716.4166666666665,0.8682015992956806,7,6627,0.20052499999999998,0.194317596670554,646.2288242806246,0.31152394058862765,0,49.0
2018-01-26,25,32460,593,Employed,Doctorate,4,49686,48,Single,2,Rent,340,0.1437420721377785,2,1,0.28486548436521736,0,Home,0,23,21,10995,151,131976,113068,2705.0,0.6645673478979521,6,18908,0.24818600000000002,0.2612322872789629,1678.7246346628526,0.7462937651248993,0,52.0
2018-01-27,42,33415,524,Employed,Associate,19,11984,60,Married,1,Rent,858,0.28430862217250974,3,0,0.14701893520532694,0,Debt Consolidation,0,27,28,2905,1022,342966,79655,2784.5833333333335,0.8611283875491221,4,263311,0.254984,0.2618030806225453,360.08692818339114,0.4374395672063652,0,45.0
2018-01-28,18,73976,517,Employed,Doctorate,0,64234,24,Divorced,4,Other,303,0.4770978614608411,0,0,0.4084144987031634,0,Auto,0,19,6,597,1746,114035,64192,6164.666666666667,0.9643489377391078,7,49843,0.28073400000000004,0.2803219985151072,3526.7617961258075,0.6212439379462216,0,59.0
2018-01-29,40,72910,486,Employed,Bachelor,17,23031,60,Single,2,Mortgage,407,0.07459901535248117,1,1,0.18309437145940102,0,Home,0,21,26,910,3948,49375,16474,6075.833333333333,0.7758512477596874,3,32901,0.285031,0.2947332359689545,737.6977162446096,0.18840176374894138,0,49.0
2018-01-30,43,142980,569,Employed,Associate,21,41250,60,Single,3,Mortgage,718,0.32616486308393056,2,0,0.2507996905121497,0,Debt Consolidation,0,29,11,2250,550,170629,15479,11915.0,0.4340974539497747,4,155150,0.26175000000000004,0.2618270795734351,1239.5101269465463,0.16428956164049907,1,36.800000000000004
2018-01-31,28,42157,579,Employed,Associate,3,36050,12,Married,1,Rent,133,0.1233292590212774,5,0,0.3219757979342143,0,Home,0,23,9,3848,678,26688,4391,3513.0833333333335,0.9374049572221751,5,22297,0.21155000000000002,0.21765254015581031,3370.005885939481,0.9971314522208357,0,55.0
2018-02-01,59,36188,574,Employed,High School,36,38134,36,Married,1,Mortgage,684,0.19377688478454047,1,0,0.07177492808677786,0,Debt Consolidation,0,21,26,8515,195,11885,19171,3015.6666666666665,0.8282895186174147,11,5305,0.236134,0.25258744506315967,1521.4245900528815,0.7313224019187182,0,50.0
2018-02-02,44,43225,506,Employed,Associate,22,40436,72,Single,1,Rent,226,0.21362705072116808,3,2,0.38014714852800435,0,Auto,0,28,15,37017,200,41740,76290,3602.0833333333335,0.9367034488239603,9,2801,0.302436,0.2793911905345514,1163.2747706842729,0.38568646034034176,0,55.0
2018-02-03,32,47186,435,Self-Employed,Bachelor,9,11432,72,Married,2,Other,263,0.6499904973334181,4,2,0.16281735165321093,0,Home,0,25,24,2040,1373,10452,21293,3932.1666666666665,0.7728703916236197,4,3904,0.308932,0.37071839999999995,397.64561669627517,0.16801058365522195,0,54.0
2018-02-04,26,45515,564,Employed,Bachelor,1,22596,36,Married,0,Own,324,0.5160076601754507,0,1,0.2942139268655868,0,Home,0,18,17,2816,197,49318,5548,3792.9166666666665,0.8669644769166178,3,43770,0.225596,0.23483394348780037,880.3880430076246,0.3175361203139953,0,54.0
2018-02-05,18,196445,542,Employed,Doctorate,0,12310,72,Single,0,Mortgage,943,0.4199754219101634,4,0,0.31006415063404763,1,Home,0,32,21,5372,1504,21769,19390,16370.416666666666,0.755313532169298,5,2379,0.25631,0.2428313327046775,326.2023544624647,0.07753024130697944,1,52.0
2018-02-06,32,60364,651,Employed,Doctorate,3,32498,84,Married,1,Rent,642,0.08036946192529411,2,1,0.18195848219367897,0,Home,1,18,12,1070,471,29190,63356,5030.333333333333,0.5173641032724922,2,7487,0.231998,0.2440221038003534,810.1975606615986,0.2886881374318995,0,49.0
2018-02-07,36,133867,550,Employed,Doctorate,12,38638,24,Single,1,Rent,543,0.266152821473967,8,0,0.22056169506855514,0,Home,0,28,10,1010,150,211835,14340,11155.583333333334,0.8982745856278369,2,197495,0.238638,0.24479285688702546,2052.0879401661955,0.23262682574491356,1,36.800000000000004
2018-02-08,56,27991,596,Self-Employed,High School,33,15057,36,Divorced,2,Own,377,0.025219330014648406,1,3,0.2238582295301052,0,Home,0,26,23,2986,5266,19619,9149,2332.5833333333335,0.6472695131504571,7,10470,0.202057,0.19497860789415686,555.7271390473737,0.39986873168405856,0,54.0
2018-02-09,37,36870,530,Employed,Associate,16,9340,96,Married,1,Rent,390,0.16495613059992917,1,1,0.12424566373316738,0,Auto,0,19,2,3281,1086,117778,24775,3072.5,0.9496192592519682,4,93003,0.27934,0.2856866714330993,248.30343842896332,0.20774725416727854,0,52.0
2018-02-10,38,27751,556,Employed,High School,14,17446,84,Married,1,Mortgage,373,0.051576319018104985,3,1,0.16316188501487297,0,Debt Consolidation,0,27,11,2113,2209,40717,35386,2312.5833333333335,0.9409546440223657,3,5331,0.26444599999999996,0.26563224901993815,459.17194949077185,0.35984517292671475,0,51.0
2018-02-11,23,26556,602,Employed,Bachelor,2,25171,24,Single,2,Mortgage,501,0.5047247218184957,5,0,0.5312730758620942,0,Home,0,19,26,2414,934,35773,103606,2213.0,0.47636311440610746,3,3048,0.199171,0.17222539786130645,1247.2044288274549,0.7899703700078874,0,58.0
2018-02-12,37,58742,545,Employed,Bachelor,16,36005,36,Married,0,Mortgage,492,0.25635326841817446,3,2,0.19822610184289824,0,Home,1,26,5,1348,196,50147,3380,4895.166666666667,0.5878054359765057,7,46767,0.248505,0.24572714648796218,1423.4284797523012,0.391289737445569,0,58.0
2018-02-13,38,29342,585,Employed,High School,16,47187,72,Married,1,Mortgage,291,0.4465110070313045,3,0,0.23434949114786907,0,Auto,0,36,26,6951,454,46873,21224,2445.1666666666665,0.8705610287806758,5,25649,0.269687,0.26296690924540667,1308.8863487918095,0.6543056432929492,0,55.0
2018-02-14,41,67335,565,Employed,Bachelor,17,8730,60,Single,2,Mortgage,397,0.05303903822869332,4,1,0.18530802779854447,0,Debt Consolidation,0,18,12,878,630,19411,75465,5611.25,0.7474480158611725,4,10813,0.23123,0.24298755471829828,252.66048491499112,0.11577821072220826,1,39.2
2018-02-15,49,53711,623,Employed,High School,27,11041,72,Married,2,Mortgage,510,0.29922172631881694,6,0,0.29865826259924727,0,Education,0,23,8,6653,3642,203457,6656,4475.916666666667,0.8334794098093413,5,196801,0.214541,0.18532651102432637,255.15678681210855,0.17094973919207054,1,36.800000000000004
2018-02-16,21,51848,604,Employed,Bachelor,0,8261,120,Married,4,Own,399,0.397433441766902,4,0,0.21020008938784004,0,Home,0,28,15,2595,4041,259270,2104,4320.666666666667,0.6927172982375187,6,257166,0.26126099999999997,0.30388819873605816,220.15096611162878,0.14329986871893893,0,43.0
2018-02-17,23,61156,563,Employed,Bachelor,1,22828,72,Married,3,Own,176,0.1683505156743948,4,0,0.1552046444741469,0,Education,0,22,26,2103,2535,26777,95273,5096.333333333333,0.8169134644098258,4,7348,0.256328,0.23698861002059746,596.8226349987876,0.15164287428846643,0,49.0
2018-02-18,51,90583,593,Employed,High School,24,8698,48,Married,3,Mortgage,190,0.13089284527433545,4,1,0.5887697789603897,0,Debt Consolidation,0,22,2,9616,3518,117610,467740,7548.583333333333,0.7147185074057287,9,9630,0.20719800000000002,0.21857605911651795,273.3679078846248,0.06138475094240087,1,48.0
2018-02-19,44,111814,561,Employed,Master,21,20761,60,Married,1,Other,138,0.22118136250456005,5,3,0.30008337474860286,0,Other,0,30,8,7310,1083,81214,14394,9317.833333333334,0.7037899818503968,7,66820,0.245261,0.2689447821987122,632.6352063390257,0.08270540787440131,1,41.6
2018-02-20,57,37401,571,Employed,Bachelor,33,13172,36,Married,1,Own,435,0.06992311303269691,2,3,0.17138566871597727,1,Debt Consolidation,0,23,18,4031,3454,49129,8301,3116.75,0.5836622423399542,1,40828,0.212672,0.1891843199052061,482.2900480740771,0.2943097932378526,0,62.0
2018-02-21,18,35898,589,Employed,Associate,0,30712,72,Single,0,Own,378,0.1928924977779829,1,0,0.1636501189240893,0,Home,0,24,25,3938,1587,191520,9500,2991.5,0.6676257976114475,4,182020,0.251212,0.23052440993693865,790.9753586483932,0.39076562214554345,0,46.0
