ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,34,163983,589,Employed,Bachelor,14,19736,72,Married,1,Rent,304,0.09037958649587556,2,2,0.056303368061396006,0,Education,1,18,22,3134,1472,19916,15947,13665.25,0.9692168992480781,5,3969,0.240236,0.21982233618998237,495.6811418284943,0.05851932030723874,1,42.400000000000006
2018-01-02,25,21624,571,Employed,High School,1,17842,72,Widowed,0,Mortgage,674,0.270246744616056,4,1,0.4331436809581577,0,Education,0,24,24,5183,12952,66556,26765,1802.0,0.758744368923571,2,39791,0.247342,0.21425789916694654,442.23937069516035,0.619444711817514,0,58.0
2018-01-03,34,183894,526,Unemployed,High School,13,21089,36,Married,1,Own,1040,0.5768923535291692,3,2,0.18968525107695985,0,Home,0,21,21,9668,6406,302917,42991,15324.5,0.9060659492711322,5,259926,0.243089,0.2723691027684453,863.6455943934218,0.12422236251710801,1,36.800000000000004
2018-01-04,45,62496,636,Self-Employed,Bachelor,24,21541,108,Married,5,Mortgage,295,0.2263888590121781,0,1,0.3251006615382445,0,Debt Consolidation,0,22,22,1112,1515,18268,34340,5208.0,0.7741177202895871,0,2396,0.248541,0.29641204957260253,573.1801518917761,0.1667012580437358,0,54.0
2018-01-05,34,41061,622,Employed,Doctorate,14,21377,72,Divorced,1,Other,601,0.349359695380791,3,0,0.03787282159310041,0,Auto,0,21,9,7142,548,90783,45308,3421.75,0.9193659997591557,1,45475,0.22537700000000002,0.19875321257484793,510.4958096821626,0.32483255927001176,0,49.0
2018-01-06,47,37519,623,Employed,Master,20,38818,48,Married,3,Mortgage,519,0.03218418919218255,3,3,0.2274287701743118,0,Auto,0,23,5,911,1565,20125,103667,3126.5833333333335,0.7435858522796644,1,8459,0.22231800000000002,0.2231707134290941,1229.6946908678085,0.559298922956734,0,51.0
2018-01-07,54,109642,617,Unemployed,Bachelor,32,36226,36,Married,3,Rent,275,0.16622263726019307,5,2,0.4474459517533719,0,Education,0,24,27,1839,2175,16123,47663,9136.833333333334,0.6009985150355983,7,9671,0.21272600000000003,0.25527120000000003,1450.458010974796,0.18884639218271784,0,54.0
2018-01-08,28,49456,556,Employed,High School,1,70222,12,Divorced,2,Mortgage,518,0.40954725039864015,3,0,0.5346084502133887,0,Home,0,25,16,672,2164,6679,13074,4121.333333333333,0.9658668120292693,2,6296,0.257222,0.21766235611374532,6564.486781387344,1.7184940427177318,0,60.0
2018-01-09,42,35140,461,Employed,High School,19,15031,48,Widowed,0,Mortgage,147,0.1323090901960659,4,2,0.375125448651441,0,Education,0,18,17,4416,661,11866,8673,2928.3333333333335,0.8158492773039736,6,3193,0.279531,0.26716140873808225,512.8795434183852,0.22534304271544173,0,54.0
2018-01-10,29,60515,612,Employed,High School,6,16272,96,Divorced,5,Own,595,0.10443271982361593,4,0,0.12215085270178844,0,Home,0,34,2,808,901,38213,13120,5042.916666666667,0.6593738619507938,3,25093,0.245272,0.2783628633574291,424.41796078340684,0.20214848433282462,0,50.0
2018-01-11,36,30131,447,Self-Employed,Associate,14,24383,36,Single,1,Other,359,0.2784062290970744,2,0,0.4969046778806953,1,Auto,0,25,8,1039,389,169745,5574,2510.9166666666665,0.7509033885452513,4,164171,0.285883,0.29175451452874596,1024.1157125281936,0.5508409462128149,0,69.0
2018-01-12,56,56341,592,Employed,Associate,35,19806,24,Single,2,Rent,204,0.10319977641361928,5,1,0.14601663804256027,0,Auto,0,18,16,5961,603,87498,40521,4695.083333333333,0.8146524472352081,6,46977,0.19880599999999998,0.18994100615812815,998.3363048211664,0.25608412448934165,0,49.0
2018-01-13,31,39226,548,Employed,Bachelor,9,18861,96,Single,4,Mortgage,226,0.18734474104783702,2,1,0.35042197526776014,0,Debt Consolidation,0,26,22,19161,912,251015,56305,3268.8333333333335,0.7899107315245647,7,194710,0.27986099999999997,0.26118051441260615,469.99333151328375,0.2129179620190538,0,50.0
2018-01-14,23,15000,584,Employed,High School,0,31035,60,Married,0,Rent,457,0.30128034495298106,1,1,0.7612670704509151,0,Debt Consolidation,1,20,7,687,2691,13578,9995,1250.0,0.6450850676775897,7,3583,0.244035,0.2315022136451259,877.5719169104026,1.0676575335283223,0,67.0
2018-01-15,19,19945,516,Employed,Associate,0,12769,24,Married,1,Mortgage,183,0.27548421252413546,7,1,0.2802476016237641,0,Education,0,31,7,2252,875,390720,3554,1662.0833333333333,0.770031333917775,2,387166,0.229769,0.2557096898000196,685.1644099906864,0.5223350674298439,0,49.0
2018-01-16,46,64162,559,Employed,Doctorate,24,54524,48,Single,5,Mortgage,553,0.10880931423240493,6,2,0.15074531329243418,0,Auto,0,21,4,22949,1139,24088,21149,5346.833333333333,0.9804733285830178,4,2939,0.270024,0.28558643338271916,1917.7477763571999,0.4620955287598017,0,52.0
2018-01-17,39,38543,529,Employed,Master,13,25252,48,Married,4,Rent,572,0.29673197323686057,4,2,0.12155061057508798,0,Auto,1,30,10,1047,977,13973,52006,3211.9166666666665,0.63905443723784,7,4272,0.255752,0.30690239999999996,919.388803385259,0.46432985602114807,0,57.0
2018-01-18,37,74427,638,Employed,Master,15,37770,108,Widowed,3,Rent,553,0.6055316224052405,3,0,0.18965565038388843,0,Debt Consolidation,0,20,7,5736,1484,200293,32054,6202.25,0.9385491642732349,6,168239,0.26377,0.2675458214917018,927.8478723444335,0.2387597843273705,0,46.0
2018-01-19,53,34787,623,Employed,High School,29,18222,72,Divorced,3,Own,599,0.1796051698263447,2,1,0.13758296542568046,0,Debt Consolidation,0,27,7,5589,5773,11362,102947,2898.9166666666665,0.8448344577907253,6,3479,0.221722,0.21947806528297106,457.28393225202484,0.3643719546676718,0,48.0
2018-01-20,22,22456,578,Unemployed,Bachelor,0,36143,36,Divorced,2,Mortgage,475,0.3055821518835691,1,3,0.2086739647952291,0,Debt Consolidation,1,27,10,2388,1359,10622,144660,1871.3333333333333,0.748673087227592,3,8866,0.23214300000000002,0.21195300400606237,1365.3168745843354,0.9834254762652309,0,63.0
2018-01-21,38,17259,589,Employed,High School,17,21477,84,Single,3,Mortgage,364,0.30606694292969605,2,2,0.021498050848326965,0,Education,0,19,7,4292,427,60169,26656,1438.25,0.899274821218216,5,33513,0.251977,0.3023724,617.521473153499,0.6824414901119409,0,53.0
2018-01-22,43,43383,561,Employed,High School,21,8844,60,Divorced,2,Rent,991,0.480188765127438,1,0,0.09770470401050015,0,Debt Consolidation,0,29,22,488,1099,17051,26519,3615.25,0.9726505602529856,6,8241,0.233344,0.24451105480301757,256.74485931745346,0.345133769260066,0,52.0
2018-01-23,35,21901,563,Employed,Master,13,29594,60,Divorced,4,Own,364,0.19397357222189732,0,1,0.1683425987958631,0,Home,0,24,21,1157,3104,41632,30036,1825.0833333333333,0.8234141128887048,4,11596,0.253094,0.2743966506593424,911.4553624128866,0.6988477397815004,0,51.0
2018-01-24,48,128326,611,Employed,High School,27,17227,60,Single,3,Mortgage,581,0.1356313331391566,1,1,0.28498913592572345,0,Auto,0,29,9,543,8136,89219,12068,10693.833333333334,0.9111359378684343,5,77151,0.216727,0.18248505068430793,439.78476176739133,0.09545545829534696,1,36.0
2018-01-25,31,56695,501,Employed,Doctorate,8,24289,36,Married,1,Mortgage,488,0.034874581988568173,4,1,0.1686026047664311,0,Debt Consolidation,0,20,6,7214,380,254431,54880,4724.583333333333,0.9818159669448343,7,199551,0.258789,0.27928668982916977,1003.7443908214094,0.315740941703094,0,47.0
2018-01-26,33,28643,540,Employed,High School,7,15569,60,Married,0,Mortgage,688,0.29018725780841487,4,0,0.28450709216632425,0,Auto,0,17,13,4307,507,33535,10828,2386.9166666666665,0.8631739086947485,3,22707,0.250569,0.2479327647142762,455.08580202084715,0.4788964013633406,0,54.0
2018-01-27,39,110063,597,Employed,High School,18,11505,72,Married,2,Mortgage,264,0.23516372888049022,0,0,0.39042679622619214,0,Education,0,19,20,5804,2232,79884,18175,9171.916666666666,0.777675145807469,5,61709,0.22800499999999999,0.23136936445442488,296.8909563666677,0.06115308029401355,1,40.800000000000004
2018-01-28,26,86218,531,Employed,Bachelor,7,37003,36,Divorced,1,Own,253,0.5112369343430122,2,0,0.1307758404574811,0,Home,1,31,1,3766,673,248010,38279,7184.833333333333,0.802142040915197,5,209731,0.25650300000000004,0.2693886514599648,1509.4420689499077,0.24530034131386594,0,56.0
2018-01-29,50,53648,625,Employed,Bachelor,27,26669,60,Married,4,Other,875,0.5415741173403917,2,0,0.5375909367703109,0,Debt Consolidation,0,22,3,3237,3472,91786,17768,4470.666666666667,0.8324566368768366,2,74018,0.219169,0.22681869632333476,746.9451807217624,0.36279716240421167,0,57.0
2018-01-30,49,73297,583,Employed,High School,25,45335,36,Single,0,Other,760,0.30616539518199654,1,3,0.31339740695890117,0,Auto,0,29,24,7926,699,111818,15213,6108.083333333333,0.7355929502987342,4,96605,0.238835,0.2402169522688779,1779.1378335990182,0.4157012429320194,0,52.0
2018-01-31,53,68415,551,Employed,High School,29,27629,24,Married,0,Mortgage,473,0.06990848491792966,4,4,0.33658213367793016,0,Debt Consolidation,0,21,5,16273,560,87373,12721,5701.25,0.9624431457248127,2,74652,0.227129,0.2571404959074117,1484.5186914211665,0.3433490359870496,0,53.0
2018-02-01,26,65831,573,Employed,Master,5,15942,48,Divorced,1,Other,483,0.3734078323756157,3,1,0.099040894332928,0,Home,0,23,2,2974,483,181287,4166,5485.916666666667,0.7871549926356295,6,177121,0.22444200000000003,0.18516166228549755,472.6070598734137,0.1741927772399168,1,40.0
2018-02-02,40,80919,553,Employed,High School,15,23847,24,Married,4,Own,737,0.1945947168748501,5,0,0.09608345788821467,0,Home,0,29,24,4443,1267,156308,41662,6743.25,0.8920794524832865,6,114646,0.222347,0.2121222188774769,1227.880821213659,0.29138483983445057,1,35.2
2018-02-03,47,72220,606,Employed,Associate,23,17362,72,Married,2,Own,353,0.5204871851576239,1,1,0.2527604282785049,0,Home,0,28,5,1523,677,23255,9689,6018.333333333333,0.7273071373409266,7,13566,0.22936199999999998,0.21124218713847734,427.26016184841524,0.1296472160368455,0,52.0
2018-02-04,58,32787,568,Employed,High School,37,13974,72,Married,0,Rent,297,0.16175028628339402,7,1,0.22242919196703367,0,Other,0,22,27,3366,999,351412,34271,2732.25,0.6229024498005836,6,317141,0.24497399999999997,0.2939688,414.97790438104835,0.26058300096296033,0,46.0
2018-02-05,18,143265,448,Employed,Master,0,49675,36,Divorced,1,Own,501,0.39750561594294964,6,0,0.1151754671063301,0,Auto,0,26,1,1828,725,17090,23698,11938.75,0.7292324272638973,6,8648,0.31067500000000003,0.31774661939924165,2157.356091104188,0.22266619965274323,0,52.0
2018-02-06,35,25360,580,Employed,High School,11,25536,48,Married,0,Mortgage,309,0.16020417397267203,1,0,0.7537060955690894,0,Debt Consolidation,0,19,15,3176,3223,146142,22279,2113.3333333333335,0.8511259478433649,1,123863,0.23053600000000002,0.23862974276637341,830.5872345115662,0.5392368617562616,0,55.0
2018-02-07,57,83824,649,Employed,Bachelor,39,18877,48,Single,5,Rent,109,0.8260717529614849,6,2,0.19130738140684125,0,Other,0,25,22,4274,1467,24690,86793,6985.333333333333,0.8983846182630274,2,5511,0.18937700000000002,0.19257080701962906,566.9885478320582,0.09677255408933837,1,39.2
2018-02-08,52,47173,600,Employed,Bachelor,30,46068,96,Divorced,4,Mortgage,979,0.1751765984788917,2,1,0.14831651904177184,0,Other,0,24,3,5159,817,173989,21661,3931.0833333333335,0.8916464295107289,3,152328,0.281068,0.25219759765353134,1120.309386175673,0.5340282075362617,0,46.0
2018-02-09,52,17553,586,Employed,High School,31,21073,36,Single,0,Mortgage,403,0.25974493253455583,0,1,0.3277991882532151,0,Debt Consolidation,0,19,2,1801,1014,142493,10037,1462.75,0.922288915758856,4,132456,0.213073,0.17802605600890614,759.7543499556772,0.7949098273496341,0,56.0
2018-02-10,41,30380,492,Employed,Bachelor,20,17088,48,Divorced,3,Own,299,0.20362373456119423,3,0,0.27591022227209583,0,Home,0,30,26,2823,679,655341,57705,2531.6666666666665,0.8830212796316268,6,597636,0.266088,0.28167727504678713,597.1946263623896,0.3539939274637484,1,36.0
2018-02-11,53,81838,511,Employed,Associate,29,31529,60,Married,0,Mortgage,293,0.08987858546574197,3,2,0.4929434394407912,0,Auto,0,23,12,1603,639,303707,14605,6819.833333333333,0.8002702220256872,3,289102,0.28102900000000003,0.29079586756748566,1002.3176273633698,0.18993391246560815,0,48.0
2018-02-12,40,101214,609,Employed,High School,21,17060,36,Single,1,Own,183,0.5718588628409033,3,3,0.460674067763453,0,Debt Consolidation,0,27,9,7049,1656,420402,79335,8434.5,0.935221614996122,1,341067,0.19755999999999999,0.23707199999999998,666.6925356255637,0.10074011922764405,1,38.400000000000006
2018-02-13,30,37304,567,Employed,High School,8,9992,72,Single,2,Own,528,0.09740132924325551,5,1,0.2473008796201824,0,Home,0,25,20,6743,2384,166292,14681,3108.6666666666665,0.6951964905982582,3,151611,0.24149199999999998,0.21923809857301926,250.60857977661686,0.2504638365140307,0,48.0
2018-02-14,48,33748,590,Employed,Bachelor,25,15929,72,Single,0,Mortgage,246,0.2584568874625521,3,0,0.24277837537766728,0,Debt Consolidation,0,31,27,3429,375,138041,22529,2812.3333333333335,0.9542877387379416,4,115512,0.235929,0.2831148,462.00697788792,0.25175073292210026,0,49.0
2018-02-15,22,42737,526,Employed,Bachelor,0,20638,48,Married,1,Other,236,0.44258952815769387,4,1,0.4321171561360381,0,Debt Consolidation,0,21,25,11319,277,13483,18314,3561.4166666666665,0.7549295746849135,2,1964,0.252638,0.26439357189019647,700.9688267051494,0.2630887970719001,0,58.0
2018-02-16,33,34570,493,Self-Employed,High School,10,15825,48,Divorced,0,Mortgage,308,0.48102757931652007,0,1,0.04412934999137077,0,Home,0,21,28,1948,243,49309,6231,2880.8333333333335,0.7839230716972759,5,43078,0.264325,0.28047088274215026,551.9616911404214,0.2985114345873606,0,55.0
2018-02-17,35,237286,633,Employed,Bachelor,12,25723,48,Single,0,Other,471,0.39976832284595915,1,2,0.2713029959529321,0,Auto,0,30,13,5750,221,9477,29180,19773.833333333332,0.944213805946084,5,6023,0.20422300000000002,0.2088490226474651,794.9389997725677,0.06402091989106316,1,37.6
2018-02-18,45,57019,526,Employed,Bachelor,26,15904,60,Single,0,Rent,482,0.36832355083952284,1,1,0.28755405511489657,0,Debt Consolidation,0,30,13,1073,438,45730,21846,4751.583333333333,0.7418952008270305,8,23884,0.257904,0.22687086413135907,445.4866423337303,0.1951952806609159,1,41.6
2018-02-19,39,54986,565,Employed,Bachelor,16,30229,24,Single,1,Mortgage,251,0.2995021619565806,3,1,0.1343156851998447,0,Debt Consolidation,0,34,17,12435,618,367903,39632,2320.25,0.840177700923014,7,328271,0.22272899999999998,0.24563846797012304,1606.7601050845885,0.8006723866327285,0,44.0
2018-02-20,29,62257,556,Employed,Doctorate,6,20255,48,Single,3,Mortgage,204,0.3179916488872208,4,0,0.37005522076992436,0,Home,0,24,26,1197,204,21649,58752,5188.083333333333,0.9407693879479102,4,6733,0.237255,0.20316647720763847,619.7893372218236,0.15878490847072432,1,43.2
2018-02-21,36,26820,544,Employed,Bachelor,13,23223,36,Married,0,Rent,377,0.11798038077016015,2,1,0.46298887445983994,0,Auto,0,27,6,4102,4414,39102,8791,2235.0,0.9238718607244427,3,30311,0.236223,0.2678223353662954,945.3729334072976,0.591665742016688,0,59.0
2018-02-22,41,58028,637,Employed,Master,21,29994,120,Married,1,Mortgage,343,0.1254895951396336,5,0,0.1488156028319231,0,Home,0,23,12,7538,559,59392,61768,4835.666666666667,0.9391198335893362,6,4460,0.266494,0.27686493223798375,739.9361319520498,0.2239476387851485,0,46.0
2018-02-23,51,47216,482,Employed,Associate,29,23164,24,Married,3,Mortgage,400,0.24862977668139627,4,0,0.11529058140327537,0,Education,0,23,7,11409,1370,28236,16648,3934.6666666666665,0.9155843580034261,0,11588,0.257164,0.26288613635750896,1251.3248345122588,0.4196860812891203,0,52.0
2018-02-24,44,46941,644,Employed,Doctorate,19,12921,72,Married,3,Own,698,0.17977120860531617,4,1,0.14118745349369172,0,Education,0,32,5,1001,649,19903,53359,3911.75,0.9265148651996322,3,7359,0.205921,0.16642713061892253,284.87237890595867,0.2512615527336764,1,39.2
2018-02-25,50,140725,633,Employed,Master,26,31717,72,Divorced,2,Own,479,0.23847131391830745,1,3,0.2146694446235344,0,Home,0,31,22,7943,1228,38161,33002,11727.083333333334,0.7046044911316638,5,5159,0.230217,0.21917111563196773,795.3656367529934,0.10866859222622789,1,37.6
2018-02-26,26,80073,514,Employed,Master,5,22217,48,Married,0,Own,718,0.41013247851741796,4,1,0.26126840541816637,0,Other,0,26,25,3394,11898,66140,22060,6672.75,0.9400959358245157,5,44080,0.260217,0.23552168956527927,718.8255602049694,0.21532734782585433,1,41.6
2018-02-27,33,21943,608,Employed,Master,13,59202,48,Married,1,Mortgage,1192,0.35397199668162105,4,0,0.5333066986948793,0,Debt Consolidation,0,29,11,40061,867,44828,14658,1828.5833333333333,0.6970642899324141,2,30170,0.250202,0.2352347422621727,1914.530849962144,1.6988729982019657,0,57.0
2018-02-28,49,67991,636,Employed,Bachelor,25,7989,84,Divorced,4,Own,273,0.07745182553956581,4,1,0.30963156204159903,0,Other,1,24,11,1737,360,218518,83819,5665.916666666667,0.8332348029168136,4,134699,0.214989,0.21857498542644527,186.44747701905837,0.08108969899293583,1,41.6
2018-03-01,33,59048,570,Employed,Master,11,11720,60,Single,1,Mortgage,171,0.11068952282005155,3,1,0.4052534915461457,0,Home,1,31,11,3918,848,76651,57517,4920.666666666667,0.5927433845177968,5,19134,0.23172000000000004,0.2254949398123329,327.36586811776976,0.1012801520358562,0,61.0
2018-03-02,40,24868,517,Employed,Associate,17,28377,48,Married,3,Other,433,0.19210225329639383,2,0,0.19255609243273145,0,Auto,0,25,14,2713,1016,115144,9794,2072.3333333333335,0.7722668250634592,3,105350,0.264877,0.24311490888021928,930.035676101038,0.657729938604329,0,47.0
