action_taken,purchaser_type,loan_type,loan_purpose,lien_status,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,total_loan_costs,total_points_and_fees,origination_charges,discount_points,loan_term,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_race-1,co-applicant_race-1,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,aus-1,denial_reason-1,ltv_category,dti_category,loan_term_category
,71,1,31,1,185000.0,57.668,6.875,1.03,12172.1,0.0,8389.15,3713.8,372.0,325000,2,1,1,1,1,100.0,49.0,1,10,2.0,5.0,2.0,8.0,45-54,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,0,2,1,1,225000.0,96.5,15.0,3.0,0.0,0.0,0.0,0.0,372.0,235000,2,1,1,1,1,62.0,Missing,3,10,2.0,5.0,5.0,8.0,35-44,9999,No,No Co-Applicant,1,4,High,Missing,Long
,71,2,31,1,295000.0,96.349,7.25,2.058,22601.62,0.0,12733.14,6567.01,372.0,295000,2,1,1,1,1,110.0,39.0,2,3,2.0,2.0,5.0,5.0,55-64,45-54,No,No,1,10,High,30-50,Long
,71,3,31,1,195000.0,84.348,6.75,0.961,12019.5,0.0,8680.0,3880.0,372.0,235000,2,1,1,1,1,106.0,Missing,1,3,2.0,2.0,5.0,5.0,25-34,25-34,No,No,1,10,Medium,Missing,Long
,71,2,1,1,215000.0,96.499,6.75,1.203,10790.23,0.0,2617.78,300.0,372.0,215000,2,1,1,1,1,65.0,39.0,2,1,2.0,2.0,5.0,5.0,25-34,35-44,No,No,1,10,High,30-50,Long
,71,3,31,1,215000.0,79.303,7.25,1.579,15634.45,0.0,9524.98,4475.68,372.0,265000,2,1,1,1,1,69.0,43.0,3,10,2.0,5.0,5.0,8.0,25-34,9999,No,No Co-Applicant,1,10,Low,30-50,Long
,0,4,1,1,325000.0,100.0,15.0,3.0,0.0,0.0,0.0,0.0,360.0,315000,1,1,3,5,1,55.0,Missing,3,2,2.0,2.0,5.0,5.0,<25,<25,No,No,4,1,High,Missing,Long
,71,2,1,1,245000.0,96.5,7.125,1.7,3375.45,0.0,4334.89,2444.89,360.0,245000,1,1,3,5,1,77.0,Missing,2,10,2.0,5.0,3.0,8.0,35-44,9999,No,No Co-Applicant,1,10,High,Missing,Long
,71,2,1,1,195000.0,96.5,7.25,2.145,14546.28,0.0,7159.47,2417.89,372.0,195000,2,1,1,1,1,73.0,47.0,3,1,2.0,2.0,5.0,5.0,65-74,55-64,Yes,No,1,10,High,30-50,Long
,71,2,1,1,165000.0,87.101,6.75,1.319,12933.38,0.0,6023.98,1687.62,372.0,195000,2,1,1,1,1,92.0,Missing,3,2,2.0,2.0,5.0,5.0,45-54,65-74,No,Yes,1,10,Medium,Missing,Long
