activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300TKFZR4QBNE5D40,99999,FL,12107.0,12107951401.0,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Asian,Male,1,71,2,1,31,1,2,2,2,185000.0,57.668,6.875,1.03,2,12172.1,,8389.15,3713.8,,372,,,2,1,2,2,325000,2,1,1,1,1,,100.0,49,1,10,2,,,,,5,,,,,2,4,2,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,3226,59.33,65800,67.63,767,1511,44
2023,549300TKFZR4QBNE5D40,11100,TX,48375.0,48375014300.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,3,0,2,2,1,1,2,2,2,225000.0,96.5,,,3,,,,,,372,,,2,1,2,2,235000,2,1,1,1,1,,62.0,50%-60%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,4,,,,6427,20.62,87300,141.89,1927,2335,19
2023,549300TKFZR4QBNE5D40,20700,PA,42089.0,42089300201.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,31,1,2,2,2,295000.0,96.349,7.25,2.058,2,22601.62,,12733.14,6567.01,,372,,,2,1,2,2,295000,2,1,1,1,1,,110.0,39,2,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,45-54,No,No,1,1,1,,,,,10,,,,4053,17.44,100000,129.71,1136,2557,43
2023,549300TKFZR4QBNE5D40,37860,FL,12033.0,12033003800.0,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,3,31,1,2,2,2,195000.0,84.348,6.75,0.961,2,12019.5,,8680.0,3880.0,,372,,,2,1,2,2,235000,2,1,1,1,1,,106.0,30%-<36%,1,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,4961,15.8,83900,114.64,1434,1915,29
2023,549300TKFZR4QBNE5D40,99999,TX,48213.0,48213950905.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,215000.0,96.499,6.75,1.203,2,10790.23,,2617.78,,,372,,,2,1,2,2,215000,2,1,1,1,1,,65.0,39,2,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,35-44,No,No,1,1,1,,,,,10,,,,2566,18.78,73200,109.59,755,1442,31
2023,549300TKFZR4QBNE5D40,99999,TN,47055.0,47055920302.0,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,3,31,1,2,2,2,215000.0,79.303,7.25,1.579,2,15634.45,,9524.98,4475.68,,372,,,2,1,2,2,265000,2,1,1,1,1,,69.0,43,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,1869,7.76,69500,97.24,643,899,43
2023,549300TKFZR4QBNE5D40,42700,FL,12055.0,12055961601.0,C,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,4,1,1,2,2,2,325000.0,100.0,,,3,,,,,,360,,,2,2,2,2,315000,1,1,3,5,1,,55.0,50%-60%,3,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,<25,<25,No,No,1,1,4,,,,,1,6.0,,,1209,22.75,67400,91.15,435,825,27
2023,549300TKFZR4QBNE5D40,47580,GA,13153.0,13153021402.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,71,2,2,1,1,2,2,2,245000.0,96.5,7.125,1.7,2,,,4334.89,2444.89,,360,,,2,2,2,2,245000,1,1,3,5,1,,77.0,50%-60%,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,6334,35.03,88900,122.3,1533,1778,13
2023,549300TKFZR4QBNE5D40,99999,NC,37143.0,37143920101.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,195000.0,96.5,7.25,2.145,2,14546.28,,7159.47,2417.89,1.13,372,,,2,1,2,2,195000,2,1,1,1,1,,73.0,47,3,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,55-64,Yes,No,1,1,1,,,,,10,,,,3575,31.72,70400,132.0,1153,1796,28
2023,549300TKFZR4QBNE5D40,17900,SC,45055.0,45055970907.0,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,165000.0,87.101,6.75,1.319,2,12933.38,,6023.98,1687.62,,372,,,2,1,2,2,195000,2,1,1,1,1,,92.0,30%-<36%,3,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,45-54,65-74,No,Yes,1,1,1,,,,,10,,,,4962,33.88,83300,101.88,1536,1804,23
